Year,Party,State,Seats_Won,Vote_Share,Voter_Turnout,Total_Seats_National,National_Vote_Share,Party_Full
1951,Others,Punjab,1,50.14,44.63,85,47.3,Other Parties
1951,Others,Chhattisgarh,3,48.09,48.65,85,47.3,Other Parties
1951,Others,Haryana,2,47.76,45.63,85,47.3,Other Parties
1951,Others,Uttarakhand,0,48.63,43.51,85,47.3,Other Parties
1951,Others,Delhi,0,48.17,42.47,85,47.3,Other Parties
1957,INC,Uttar Pradesh,80,50.52,51.85,371,47.8,Indian National Congress (INC)
1957,INC,Maharashtra,36,44.89,51.98,371,47.8,Indian National Congress (INC)
1957,INC,West Bengal,34,50.6,52.34,371,47.8,Indian National Congress (INC)
1957,INC,Bihar,40,46.57,46.55,371,47.8,Indian National Congress (INC)
1957,INC,Tamil Nadu,39,46.7,44.39,371,47.8,Indian National Congress (INC)
1957,INC,Madhya Pradesh,27,50.42,49.66,371,47.8,Indian National Congress (INC)
1957,INC,Rajasthan,23,45.38,48.85,371,47.8,Indian National Congress (INC)
1957,INC,Karnataka,28,45.64,47.88,371,47.8,Indian National Congress (INC)
1957,INC,Andhra Pradesh,25,49.24,49.67,371,47.8,Indian National Congress (INC)
1957,INC,Gujarat,26,46.96,45.64,371,47.8,Indian National Congress (INC)
1957,INC,Odisha,21,49.66,51.37,371,47.8,Indian National Congress (INC)
1957,INC,Telangana,17,47.87,47.72,371,47.8,Indian National Congress (INC)
1957,INC,Kerala,20,48.7,49.72,371,47.8,Indian National Congress (INC)
1957,INC,Jharkhand,14,50.14,46.08,371,47.8,Indian National Congress (INC)
1957,INC,Assam,10,45.36,48.48,371,47.8,Indian National Congress (INC)
1957,INC,Punjab,5,47.59,48.13,371,47.8,Indian National Congress (INC)
1957,INC,Chhattisgarh,7,48.34,43.01,371,47.8,Indian National Congress (INC)
1957,INC,Haryana,4,49.74,46.3,371,47.8,Indian National Congress (INC)
1957,INC,Uttarakhand,2,47.93,50.4,371,47.8,Indian National Congress (INC)
1957,INC,Delhi,4,48.54,43.55,371,47.8,Indian National Congress (INC)
1957,CPI,Uttar Pradesh,2,9.09,48.11,27,8.9,Communist Party of India
1957,CPI,Maharashtra,3,10.26,52.46,27,8.9,Communist Party of India
1957,CPI,West Bengal,2,7.84,50.65,27,8.9,Communist Party of India
1957,CPI,Bihar,1,8.53,43.48,27,8.9,Communist Party of India
1957,CPI,Tamil Nadu,1,11.68,51.06,27,8.9,Communist Party of India
1957,CPI,Madhya Pradesh,2,8.35,44.43,27,8.9,Communist Party of India
1957,CPI,Rajasthan,0,7.4,48.19,27,8.9,Communist Party of India
1957,CPI,Karnataka,2,9.86,45.5,27,8.9,Communist Party of India
1957,CPI,Andhra Pradesh,2,10.33,48.24,27,8.9,Communist Party of India
1957,CPI,Gujarat,1,8.42,45.18,27,8.9,Communist Party of India
1957,CPI,Odisha,1,10.45,42.84,27,8.9,Communist Party of India
1957,CPI,Telangana,0,6.18,43.11,27,8.9,Communist Party of India
1957,CPI,Kerala,1,10.12,47.44,27,8.9,Communist Party of India
1957,CPI,Jharkhand,0,8.85,47.43,27,8.9,Communist Party of India
1957,CPI,Assam,0,8.5,46.69,27,8.9,Communist Party of India
1957,CPI,Punjab,0,9.71,43.15,27,8.9,Communist Party of India
1957,CPI,Chhattisgarh,0,9.66,47.73,27,8.9,Communist Party of India
1957,CPI,Haryana,0,9.85,44.33,27,8.9,Communist Party of India
1957,CPI,Uttarakhand,0,9.75,42.97,27,8.9,Communist Party of India
1957,CPI,Delhi,0,11.54,48.45,27,8.9,Communist Party of India
1957,PSP,Uttar Pradesh,3,11.26,47.28,19,10.4,Praja Socialist Party
1957,PSP,Maharashtra,2,13.05,46.56,19,10.4,Praja Socialist Party
1957,PSP,West Bengal,2,12.83,44.66,19,10.4,Praja Socialist Party
1957,PSP,Bihar,0,8.0,42.88,19,10.4,Praja Socialist Party
1957,PSP,Tamil Nadu,0,11.5,43.41,19,10.4,Praja Socialist Party
1957,PSP,Madhya Pradesh,1,12.47,42.93,19,10.4,Praja Socialist Party
1957,PSP,Rajasthan,1,9.09,43.88,19,10.4,Praja Socialist Party
1957,PSP,Karnataka,1,11.17,51.47,19,10.4,Praja Socialist Party
1957,PSP,Andhra Pradesh,1,12.22,45.52,19,10.4,Praja Socialist Party
1957,PSP,Gujarat,0,11.9,50.77,19,10.4,Praja Socialist Party
1957,PSP,Odisha,1,9.88,46.42,19,10.4,Praja Socialist Party
1957,PSP,Telangana,1,9.44,52.01,19,10.4,Praja Socialist Party
1957,PSP,Kerala,1,9.97,50.21,19,10.4,Praja Socialist Party
1957,PSP,Jharkhand,0,8.02,51.73,19,10.4,Praja Socialist Party
1957,PSP,Assam,0,12.36,45.9,19,10.4,Praja Socialist Party
1957,PSP,Punjab,0,9.74,42.81,19,10.4,Praja Socialist Party
1957,PSP,Chhattisgarh,0,7.95,45.89,19,10.4,Praja Socialist Party
1957,PSP,Haryana,0,13.1,48.43,19,10.4,Praja Socialist Party
1957,PSP,Uttarakhand,0,10.09,45.63,19,10.4,Praja Socialist Party
1957,PSP,Delhi,0,11.44,50.22,19,10.4,Praja Socialist Party
1957,Others,Uttar Pradesh,16,34.64,43.61,67,32.9,Other Parties
1957,Others,Maharashtra,7,30.25,48.2,67,32.9,Other Parties
1957,Others,West Bengal,6,35.23,46.21,67,32.9,Other Parties
1957,Others,Bihar,3,30.76,50.32,67,32.9,Other Parties
1957,Others,Tamil Nadu,7,30.51,43.54,67,32.9,Other Parties
1957,Others,Madhya Pradesh,5,30.34,50.92,67,32.9,Other Parties
1957,Others,Rajasthan,4,30.39,43.55,67,32.9,Other Parties
1957,Others,Karnataka,6,32.15,46.41,67,32.9,Other Parties
1957,Others,Andhra Pradesh,5,35.58,52.56,67,32.9,Other Parties
1957,Others,Gujarat,5,32.16,43.54,67,32.9,Other Parties
1957,Others,Odisha,4,33.25,46.94,67,32.9,Other Parties
1957,Others,Telangana,3,30.57,47.63,67,32.9,Other Parties
1957,Others,Kerala,1,32.71,43.26,67,32.9,Other Parties
1957,Others,Jharkhand,1,30.61,49.19,67,32.9,Other Parties
1957,Others,Assam,2,33.4,52.32,67,32.9,Other Parties
1957,Others,Punjab,1,31.61,51.39,67,32.9,Other Parties
1957,Others,Chhattisgarh,1,35.68,42.82,67,32.9,Other Parties
1957,Others,Haryana,2,30.16,51.61,67,32.9,Other Parties
1957,Others,Uttarakhand,0,35.86,43.44,67,32.9,Other Parties
1957,Others,Delhi,1,35.72,47.93,67,32.9,Other Parties
1962,INC,Uttar Pradesh,77,45.87,54.95,361,44.7,Indian National Congress (INC)
1962,INC,Maharashtra,46,45.21,59.41,361,44.7,Indian National Congress (INC)
1962,INC,West Bengal,17,43.39,59.9,361,44.7,Indian National Congress (INC)
1962,INC,Bihar,40,44.43,56.6,361,44.7,Indian National Congress (INC)
1962,INC,Tamil Nadu,24,42.83,55.04,361,44.7,Indian National Congress (INC)
1962,INC,Madhya Pradesh,20,45.2,51.18,361,44.7,Indian National Congress (INC)
1962,INC,Rajasthan,25,47.62,57.38,361,44.7,Indian National Congress (INC)
1962,INC,Karnataka,24,43.56,58.54,361,44.7,Indian National Congress (INC)
1962,INC,Andhra Pradesh,25,42.68,59.51,361,44.7,Indian National Congress (INC)
1962,INC,Gujarat,26,47.4,57.66,361,44.7,Indian National Congress (INC)
1962,INC,Odisha,19,44.21,59.73,361,44.7,Indian National Congress (INC)
1962,INC,Telangana,17,41.97,50.66,361,44.7,Indian National Congress (INC)
1962,INC,Kerala,14,46.56,60.27,361,44.7,Indian National Congress (INC)
1962,INC,Jharkhand,7,45.26,54.21,361,44.7,Indian National Congress (INC)
1962,INC,Assam,14,46.75,58.78,361,44.7,Indian National Congress (INC)
1962,INC,Punjab,10,44.19,53.13,361,44.7,Indian National Congress (INC)
1962,INC,Chhattisgarh,4,46.89,58.53,361,44.7,Indian National Congress (INC)
1962,INC,Haryana,10,47.68,55.95,361,44.7,Indian National Congress (INC)
1962,INC,Uttarakhand,5,47.37,58.9,361,44.7,Indian National Congress (INC)
1962,INC,Delhi,4,44.4,51.69,361,44.7,Indian National Congress (INC)
1962,CPI,Uttar Pradesh,8,10.54,52.69,29,9.9,Communist Party of India
1962,CPI,Maharashtra,3,10.61,53.98,29,9.9,Communist Party of India
1962,CPI,West Bengal,1,10.93,55.6,29,9.9,Communist Party of India
1962,CPI,Bihar,3,10.02,58.92,29,9.9,Communist Party of India
1962,CPI,Tamil Nadu,2,10.27,59.17,29,9.9,Communist Party of India
1962,CPI,Madhya Pradesh,1,7.7,50.69,29,9.9,Communist Party of India
1962,CPI,Rajasthan,2,10.62,57.44,29,9.9,Communist Party of India
1962,CPI,Karnataka,1,7.72,50.55,29,9.9,Communist Party of India
1962,CPI,Andhra Pradesh,1,10.44,54.32,29,9.9,Communist Party of India
1962,CPI,Gujarat,1,12.32,53.88,29,9.9,Communist Party of India
1962,CPI,Odisha,1,11.6,54.37,29,9.9,Communist Party of India
1962,CPI,Telangana,1,12.07,59.9,29,9.9,Communist Party of India
1962,CPI,Kerala,0,12.46,55.32,29,9.9,Communist Party of India
1962,CPI,Jharkhand,0,9.65,60.2,29,9.9,Communist Party of India
1962,CPI,Assam,0,8.87,56.73,29,9.9,Communist Party of India
1962,CPI,Punjab,0,7.36,51.69,29,9.9,Communist Party of India
1962,CPI,Chhattisgarh,0,7.81,51.79,29,9.9,Communist Party of India
1962,CPI,Haryana,0,7.99,53.86,29,9.9,Communist Party of India
1962,CPI,Uttarakhand,0,9.74,57.08,29,9.9,Communist Party of India
1962,CPI,Delhi,0,8.05,50.81,29,9.9,Communist Party of India
1962,PSP,Uttar Pradesh,1,5.47,52.17,12,6.8,Praja Socialist Party
1962,PSP,Maharashtra,0,4.52,55.01,12,6.8,Praja Socialist Party
1962,PSP,West Bengal,0,5.99,55.43,12,6.8,Praja Socialist Party
1962,PSP,Bihar,1,4.04,58.39,12,6.8,Praja Socialist Party
1962,PSP,Tamil Nadu,1,4.29,59.14,12,6.8,Praja Socialist Party
1962,PSP,Madhya Pradesh,1,4.17,53.17,12,6.8,Praja Socialist Party
1962,PSP,Rajasthan,0,8.29,52.25,12,6.8,Praja Socialist Party
1962,PSP,Karnataka,0,6.02,55.25,12,6.8,Praja Socialist Party
1962,PSP,Andhra Pradesh,0,6.01,55.03,12,6.8,Praja Socialist Party
1962,PSP,Gujarat,0,4.02,52.92,12,6.8,Praja Socialist Party
1962,PSP,Odisha,0,9.17,55.52,12,6.8,Praja Socialist Party
1962,PSP,Telangana,0,4.44,54.87,12,6.8,Praja Socialist Party
1962,PSP,Kerala,0,5.25,53.09,12,6.8,Praja Socialist Party
1962,PSP,Jharkhand,0,3.92,53.62,12,6.8,Praja Socialist Party
1962,PSP,Assam,0,5.76,51.6,12,6.8,Praja Socialist Party
1962,PSP,Punjab,0,7.36,57.19,12,6.8,Praja Socialist Party
1962,PSP,Chhattisgarh,0,6.79,51.27,12,6.8,Praja Socialist Party
1962,PSP,Haryana,0,7.32,57.85,12,6.8,Praja Socialist Party
1962,PSP,Uttarakhand,0,4.57,53.24,12,6.8,Praja Socialist Party
1962,PSP,Delhi,0,7.68,56.11,12,6.8,Praja Socialist Party
1962,SWA,Uttar Pradesh,2,10.82,56.46,18,7.9,Swatantra Party
1962,SWA,Maharashtra,1,5.51,51.93,18,7.9,Swatantra Party
1962,SWA,West Bengal,1,5.86,52.27,18,7.9,Swatantra Party
1962,SWA,Bihar,1,5.94,59.37,18,7.9,Swatantra Party
1962,SWA,Tamil Nadu,0,8.05,54.5,18,7.9,Swatantra Party
1962,SWA,Madhya Pradesh,1,5.57,54.38,18,7.9,Swatantra Party
1962,SWA,Rajasthan,1,10.09,58.57,18,7.9,Swatantra Party
1962,SWA,Karnataka,0,5.93,57.09,18,7.9,Swatantra Party
1962,SWA,Andhra Pradesh,1,8.24,56.12,18,7.9,Swatantra Party
1962,SWA,Gujarat,0,9.52,52.27,18,7.9,Swatantra Party
1962,SWA,Odisha,0,7.45,55.48,18,7.9,Swatantra Party
1962,SWA,Telangana,0,5.59,56.51,18,7.9,Swatantra Party
1962,SWA,Kerala,0,8.39,51.94,18,7.9,Swatantra Party
1962,SWA,Jharkhand,0,8.1,50.92,18,7.9,Swatantra Party
1962,SWA,Assam,0,5.71,51.03,18,7.9,Swatantra Party
1962,SWA,Punjab,0,6.83,58.5,18,7.9,Swatantra Party
1962,SWA,Chhattisgarh,0,8.99,58.0,18,7.9,Swatantra Party
1962,SWA,Haryana,0,7.73,54.52,18,7.9,Swatantra Party
1962,SWA,Uttarakhand,0,10.48,58.71,18,7.9,Swatantra Party
1962,SWA,Delhi,0,5.65,57.71,18,7.9,Swatantra Party
1962,Others,Uttar Pradesh,20,28.79,51.06,74,30.7,Other Parties
1962,Others,Maharashtra,10,31.15,58.82,74,30.7,Other Parties
1962,Others,West Bengal,4,32.47,52.42,74,30.7,Other Parties
1962,Others,Bihar,4,28.69,58.55,74,30.7,Other Parties
1962,Others,Tamil Nadu,7,30.84,53.99,74,30.7,Other Parties
1962,Others,Madhya Pradesh,7,30.05,58.57,74,30.7,Other Parties
1962,Others,Rajasthan,4,29.96,55.03,74,30.7,Other Parties
1962,Others,Karnataka,3,32.19,55.43,74,30.7,Other Parties
1962,Others,Andhra Pradesh,3,33.1,54.24,74,30.7,Other Parties
1962,Others,Gujarat,4,33.14,56.64,74,30.7,Other Parties
1962,Others,Odisha,2,33.34,56.68,74,30.7,Other Parties
1962,Others,Telangana,2,28.54,58.34,74,30.7,Other Parties
1962,Others,Kerala,3,30.9,59.34,74,30.7,Other Parties
1962,Others,Jharkhand,3,28.61,53.52,74,30.7,Other Parties
1962,Others,Assam,1,32.16,50.74,74,30.7,Other Parties
1962,Others,Punjab,2,32.27,59.17,74,30.7,Other Parties
1962,Others,Chhattisgarh,1,32.63,51.51,74,30.7,Other Parties
1962,Others,Haryana,2,28.46,54.37,74,30.7,Other Parties
1962,Others,Uttarakhand,1,28.6,52.69,74,30.7,Other Parties
1962,Others,Delhi,1,32.02,56.81,74,30.7,Other Parties
1967,INC,Uttar Pradesh,61,41.06,58.82,283,40.8,Indian National Congress (INC)
1967,INC,Maharashtra,24,38.89,65.38,283,40.8,Indian National Congress (INC)
1967,INC,West Bengal,28,40.21,60.92,283,40.8,Indian National Congress (INC)
1967,INC,Bihar,37,38.72,62.16,283,40.8,Indian National Congress (INC)
1967,INC,Tamil Nadu,24,41.47,56.48,283,40.8,Indian National Congress (INC)
1967,INC,Madhya Pradesh,25,43.39,61.95,283,40.8,Indian National Congress (INC)
1967,INC,Rajasthan,19,43.33,63.37,283,40.8,Indian National Congress (INC)
1967,INC,Karnataka,10,41.26,62.37,283,40.8,Indian National Congress (INC)
1967,INC,Andhra Pradesh,14,42.22,65.64,283,40.8,Indian National Congress (INC)
1967,INC,Gujarat,24,40.51,57.43,283,40.8,Indian National Congress (INC)
1967,INC,Odisha,20,42.83,57.55,283,40.8,Indian National Congress (INC)
1967,INC,Telangana,15,43.02,61.49,283,40.8,Indian National Congress (INC)
1967,INC,Kerala,13,40.19,56.85,283,40.8,Indian National Congress (INC)
1967,INC,Jharkhand,7,42.62,56.35,283,40.8,Indian National Congress (INC)
1967,INC,Assam,7,40.19,61.67,283,40.8,Indian National Congress (INC)
1967,INC,Punjab,11,39.88,59.77,283,40.8,Indian National Congress (INC)
1967,INC,Chhattisgarh,8,40.51,58.55,283,40.8,Indian National Congress (INC)
1967,INC,Haryana,5,38.65,58.06,283,40.8,Indian National Congress (INC)
1967,INC,Uttarakhand,3,40.31,65.45,283,40.8,Indian National Congress (INC)
1967,INC,Delhi,3,41.28,62.62,283,40.8,Indian National Congress (INC)
1967,CPI,Uttar Pradesh,1,6.08,58.08,23,5.1,Communist Party of India
1967,CPI,Maharashtra,3,2.99,60.45,23,5.1,Communist Party of India
1967,CPI,West Bengal,1,8.08,61.32,23,5.1,Communist Party of India
1967,CPI,Bihar,2,2.5,63.8,23,5.1,Communist Party of India
1967,CPI,Tamil Nadu,1,7.49,58.35,23,5.1,Communist Party of India
1967,CPI,Madhya Pradesh,0,2.32,61.02,23,5.1,Communist Party of India
1967,CPI,Rajasthan,1,2.49,64.06,23,5.1,Communist Party of India
1967,CPI,Karnataka,1,5.25,60.71,23,5.1,Communist Party of India
1967,CPI,Andhra Pradesh,1,5.46,57.85,23,5.1,Communist Party of India
1967,CPI,Gujarat,0,7.27,65.76,23,5.1,Communist Party of India
1967,CPI,Odisha,0,3.72,62.74,23,5.1,Communist Party of India
1967,CPI,Telangana,0,2.25,57.86,23,5.1,Communist Party of India
1967,CPI,Kerala,1,6.05,56.57,23,5.1,Communist Party of India
1967,CPI,Jharkhand,0,3.49,63.02,23,5.1,Communist Party of India
1967,CPI,Assam,0,2.72,64.3,23,5.1,Communist Party of India
1967,CPI,Punjab,0,6.02,58.68,23,5.1,Communist Party of India
1967,CPI,Chhattisgarh,0,3.56,63.52,23,5.1,Communist Party of India
1967,CPI,Haryana,0,7.08,60.27,23,5.1,Communist Party of India
1967,CPI,Uttarakhand,0,3.33,59.23,23,5.1,Communist Party of India
1967,CPI,Delhi,0,2.18,57.16,23,5.1,Communist Party of India
1967,CPM,Uttar Pradesh,2,1.46,58.11,19,4.3,Communist Party of India (Marxist)
1967,CPM,Maharashtra,2,3.83,65.23,19,4.3,Communist Party of India (Marxist)
1967,CPM,West Bengal,2,3.35,58.89,19,4.3,Communist Party of India (Marxist)
1967,CPM,Bihar,1,4.84,58.98,19,4.3,Communist Party of India (Marxist)
1967,CPM,Tamil Nadu,1,3.76,61.82,19,4.3,Communist Party of India (Marxist)
1967,CPM,Madhya Pradesh,1,3.07,65.78,19,4.3,Communist Party of India (Marxist)
1967,CPM,Rajasthan,1,2.14,64.98,19,4.3,Communist Party of India (Marxist)
1967,CPM,Karnataka,1,6.67,64.3,19,4.3,Communist Party of India (Marxist)
1967,CPM,Andhra Pradesh,0,1.43,58.99,19,4.3,Communist Party of India (Marxist)
1967,CPM,Gujarat,1,5.1,58.88,19,4.3,Communist Party of India (Marxist)
1967,CPM,Odisha,0,6.31,66.14,19,4.3,Communist Party of India (Marxist)
1967,CPM,Telangana,0,2.33,59.02,19,4.3,Communist Party of India (Marxist)
1967,CPM,Kerala,0,6.79,57.48,19,4.3,Communist Party of India (Marxist)
1967,CPM,Jharkhand,0,2.94,61.84,19,4.3,Communist Party of India (Marxist)
1967,CPM,Assam,0,6.28,58.36,19,4.3,Communist Party of India (Marxist)
1967,CPM,Punjab,0,2.12,65.3,19,4.3,Communist Party of India (Marxist)
1967,CPM,Chhattisgarh,0,4.88,62.31,19,4.3,Communist Party of India (Marxist)
1967,CPM,Haryana,0,2.35,65.44,19,4.3,Communist Party of India (Marxist)
1967,CPM,Uttarakhand,0,3.6,61.49,19,4.3,Communist Party of India (Marxist)
1967,CPM,Delhi,0,2.3,63.68,19,4.3,Communist Party of India (Marxist)
1967,SSP,Uttar Pradesh,2,5.52,58.75,23,4.9,Samyukta Socialist Party
1967,SSP,Maharashtra,2,3.63,59.86,23,4.9,Samyukta Socialist Party
1967,SSP,West Bengal,2,3.68,61.96,23,4.9,Samyukta Socialist Party
1967,SSP,Bihar,1,5.88,65.67,23,4.9,Samyukta Socialist Party
1967,SSP,Tamil Nadu,2,3.19,56.61,23,4.9,Samyukta Socialist Party
1967,SSP,Madhya Pradesh,1,5.47,56.81,23,4.9,Samyukta Socialist Party
1967,SSP,Rajasthan,1,5.48,59.64,23,4.9,Samyukta Socialist Party
1967,SSP,Karnataka,1,2.54,57.05,23,4.9,Samyukta Socialist Party
1967,SSP,Andhra Pradesh,1,4.87,63.18,23,4.9,Samyukta Socialist Party
1967,SSP,Gujarat,1,3.38,64.49,23,4.9,Samyukta Socialist Party
1967,SSP,Odisha,1,6.07,59.02,23,4.9,Samyukta Socialist Party
1967,SSP,Telangana,0,4.07,57.22,23,4.9,Samyukta Socialist Party
1967,SSP,Kerala,1,2.72,65.8,23,4.9,Samyukta Socialist Party
1967,SSP,Jharkhand,0,3.01,61.72,23,4.9,Samyukta Socialist Party
1967,SSP,Assam,1,6.29,64.37,23,4.9,Samyukta Socialist Party
1967,SSP,Punjab,0,6.05,64.79,23,4.9,Samyukta Socialist Party
1967,SSP,Chhattisgarh,0,4.84,58.51,23,4.9,Samyukta Socialist Party
1967,SSP,Haryana,0,7.56,56.69,23,4.9,Samyukta Socialist Party
1967,SSP,Uttarakhand,0,7.45,58.11,23,4.9,Samyukta Socialist Party
1967,SSP,Delhi,0,7.39,56.64,23,4.9,Samyukta Socialist Party
1967,BJS,Uttar Pradesh,7,8.18,65.54,35,9.4,Bharatiya Jana Sangh
1967,BJS,Maharashtra,5,12.07,61.04,35,9.4,Bharatiya Jana Sangh
1967,BJS,West Bengal,4,11.47,59.49,35,9.4,Bharatiya Jana Sangh
1967,BJS,Bihar,4,6.62,62.26,35,9.4,Bharatiya Jana Sangh
1967,BJS,Tamil Nadu,2,7.12,57.07,35,9.4,Bharatiya Jana Sangh
1967,BJS,Madhya Pradesh,2,8.44,63.55,35,9.4,Bharatiya Jana Sangh
1967,BJS,Rajasthan,0,8.29,61.69,35,9.4,Bharatiya Jana Sangh
1967,BJS,Karnataka,2,8.31,62.56,35,9.4,Bharatiya Jana Sangh
1967,BJS,Andhra Pradesh,2,10.1,58.63,35,9.4,Bharatiya Jana Sangh
1967,BJS,Gujarat,0,11.62,56.51,35,9.4,Bharatiya Jana Sangh
1967,BJS,Odisha,2,9.57,65.69,35,9.4,Bharatiya Jana Sangh
1967,BJS,Telangana,1,12.39,59.81,35,9.4,Bharatiya Jana Sangh
1967,BJS,Kerala,2,8.81,61.1,35,9.4,Bharatiya Jana Sangh
1967,BJS,Jharkhand,1,11.64,66.14,35,9.4,Bharatiya Jana Sangh
